ECLIPSE ANDROID PROJECT IMPORT SUMMARY
======================================

Manifest Merging:
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-gson-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-gson-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-jackson2-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-jackson2-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-jdo-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-http-client-jdo-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-1.18.0-rc.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-appengine-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-java6-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-jetty-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/google-oauth-client-servlet-1.18.0-rc.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/gson-2.1.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/gson-2.1.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/httpclient-4.0.1.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/httpcore-4.0.1.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jackson-core-2.1.3.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jackson-core-2.1.3.jar.properties
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jdo2-api-2.3-eb.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jetty-6.1.26.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jetty-util-6.1.26.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/jsr305-1.3.9.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/libs/transaction-api-1.1.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/proguard-google-api-client.txt
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/readme.html
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/trip.com-deviceinfoendpoint-v1-20150318153735-java-1.18.0-rc-sources.jar
* endpoint-libs/libdeviceinfoendpoint-v1/deviceinfoendpoint/trip.com-deviceinfoendpoint-v1-20150318153735-java-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/LICENSE.txt
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/classpath-include
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/APACHE-LICENSE.txt
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/CDDL-LICENSE.txt
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/css/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/css/maven-base.css
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/css/maven-theme.css
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/css/print.css
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/css/site.css
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-android-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-appengine-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-gson-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-jackson2-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-java6-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-api-client-servlet-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-android-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-appengine-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-gson-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-jackson2-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-http-client-jdo-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-oauth-client-appengine-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-oauth-client-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-oauth-client-java6-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-oauth-client-jetty-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/google-oauth-client-servlet-dependencies.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/close.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/collapsed.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/expanded.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/external.png
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/icon_error_sml.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/icon_info_sml.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/icon_success_sml.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/icon_warning_sml.gif
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/logos/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/logos/build-by-maven-black.png
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/logos/build-by-maven-white.png
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/logos/maven-feather.png
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/dependencies/images/newwindow.png
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/descriptor.json
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/commons-logging-1.1.1-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-android-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-gson-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-jackson2-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-java6-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-api-client-servlet-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-android-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-gson-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-jackson2-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-http-client-jdo-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-oauth-client-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-oauth-client-appengine-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-oauth-client-java6-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-oauth-client-jetty-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/google-oauth-client-servlet-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/gson-2.1-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/httpclient-4.0.1-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/httpcore-4.0.1-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/jackson-core-2.1.3-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/jdo2-api-2.3-eb-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/jetty-6.1.26-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/jetty-util-6.1.26-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs-sources/transaction-api-1.1-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/commons-logging-1.1.1.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-android-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-android-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-appengine-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-gson-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-jackson2-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-java6-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-api-client-servlet-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-android-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-android-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-appengine-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-gson-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-gson-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-jackson2-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-jackson2-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-jdo-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-http-client-jdo-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-1.18.0-rc.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-appengine-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-java6-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-jetty-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/google-oauth-client-servlet-1.18.0-rc.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/gson-2.1.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/gson-2.1.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/httpclient-4.0.1.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/httpcore-4.0.1.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jackson-core-2.1.3.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jackson-core-2.1.3.jar.properties
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jdo2-api-2.3-eb.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jetty-6.1.26.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jetty-util-6.1.26.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/jsr305-1.3.9.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/libs/transaction-api-1.1.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/proguard-google-api-client.txt
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/readme.html
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/trip.com-distributionendpoint-v1-20150318153651-java-1.18.0-rc-sources.jar
* endpoint-libs/libdistributionendpoint-v1/distributionendpoint/trip.com-distributionendpoint-v1-20150318153651-java-1.18.0-rc.jar.properties
* endpoint-libs/libexpenseendpoint-v1/
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/LICENSE.txt
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/classpath-include
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/APACHE-LICENSE.txt
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/CDDL-LICENSE.txt
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/css/
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/css/maven-base.css
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/css/maven-theme.css
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/css/print.css
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/css/site.css
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-android-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-appengine-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-gson-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-jackson2-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-java6-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-api-client-servlet-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-android-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-appengine-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-gson-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-jackson2-dependencies.html
* endpoint-libs/libexpenseendpoint-v1/expenseendpoint/dependencies/google-http-client-jdo-dependencies.html
